"TIME_PERIOD","BETA0","BETA1","BETA2","BETA3","TAU1","TAU2"
"2015-11-05",2.12804357603409,-2.49004357603797,19.9412252300623,-24.1111286535252,1.67636441588463,1.82734372677719
"2015-11-06",2.2349436047139,-2.61594360473616,19.9236451524556,-24.1252326245626,1.68910445102518,1.84018640304462
"2015-11-09",2.36356404641961,-2.73856404641998,19.7497272950398,-24.300319165467,1.68235956082338,1.84998373691818
"2015-11-10",2.32518950219137,-2.67718950218611,19.6966724973548,-24.3539728570109,1.67088751844644,1.84051300272927
"2015-11-11",2.28430313274232,-2.64230313267619,19.7348325126284,-24.3155418265412,1.68132921674355,1.8466495748077
"2015-11-12",2.21291409861995,-2.55791409861673,19.781023967451,-24.2691341195397,1.65557927264553,1.81310473517986
"2015-11-13",2.1591887838862,-2.55918878389217,19.8614464464092,-24.1877940620697,1.7031082108351,1.86416590463539
"2015-11-16",2.14696221693454,-2.53141430273346,19.8464123653957,-24.2029344139813,1.70457799992222,1.86814813502385
"2015-11-17",2.14486274741198,-2.52849326838111,19.8415792331081,-24.2077876435149,1.70540442900571,1.86645347795362
"2015-11-18",2.12677059221855,-2.50377059223013,19.8444927488815,-24.2048196909516,1.69933767573902,1.86238874032125
"2015-11-19",2.01477330081412,-2.3787733007649,19.9254601640454,-24.1220328362172,1.68160855990574,1.83838197357917
"2015-11-20",1.95150733059737,-2.34350733060827,19.9835310393928,-24.0640266137177,1.6623178525116,1.81442820462076
"2015-11-23",1.98711618848651,-2.38211618847892,19.9447640180985,-24.0997311355478,1.60228604152016,1.75169892575914
"2015-11-24",2.03506996179442,-2.42306996183751,19.922351179545,-24.129834645948,1.6620617505227,1.81940429769886
"2015-11-25",2.01096128983958,-2.4299612898376,19.9206860317431,-24.1314775165592,1.69540410666866,1.85232559379648
"2015-11-26",2.03784070994272,-2.46584070998046,19.9010085852858,-24.151243949018,1.68706225351678,1.84797322100594
"2015-11-27",2.01590051278048,-2.43590051266222,19.8941981349648,-24.1589923625675,1.69279368398961,1.85628108081169
"2015-11-30",2.06896117809778,-2.49396117808488,19.8735767975449,-24.178769512854,1.71349043115252,1.87744533401295
"2015-12-01",2.1375815915603,-2.58858159160887,19.8311674746016,-24.221466597075,1.76059688158128,1.92892963709286
"2015-12-02",2.1328141955216,-2.57381419554251,19.7766497101311,-24.2764953766265,1.69539844678898,1.86990758114955
"2015-12-03",2.25302056331297,-2.63402056335147,19.8344009580828,-24.2171493904213,1.71084531744688,1.88416199876854
"2015-12-04",2.21534864414848,-2.58534864415613,19.9046846020693,-24.1441550991495,1.62491348860387,1.77913466038718
"2015-12-07",2.16033734989398,-2.53233734988806,19.9165038120372,-24.1245145749258,1.65971149516868,1.82192570851044
"2015-12-08",2.0852187668623,-2.47221876684653,19.9862567491066,-24.0541756011532,1.65759263336317,1.8129626778016
"2015-12-09",2.1088825149322,-2.50888251493865,19.9385371714499,-24.1022077233015,1.62127562611773,1.78166252777641
"2015-12-10",2.13086129164773,-2.52586129170727,19.8902825159695,-24.1508814357083,1.62520342054117,1.78814134414829
"2015-12-11",2.08110556615354,-2.49110556615108,19.9125452157561,-24.1277707826901,1.63666185632761,1.80189585927902
"2015-12-14",2.09214824194104,-2.50214824193254,19.9243886006515,-24.1146219432969,1.59425062811123,1.75615245710273
"2015-12-15",2.14581646974121,-2.55981646973853,19.8930150019489,-24.1398169154653,1.54292280798409,1.69717096677871
"2015-12-16",2.15356050713448,-2.58656050714239,19.897169389211,-24.1355882074248,1.53084332567741,1.68519854842925
"2015-12-17",2.08044349048385,-2.54244349050721,19.9795525630945,-24.0526211989986,1.55793459942181,1.70839518934972
"2015-12-18",1.99036737060154,-2.43536737062821,20.0163993603039,-24.0113684569251,1.56697791202997,1.71412026414622
"2015-12-21",1.99559161010271,-2.43959161012534,20.0027390440316,-24.025249809449,1.5711978712479,1.71947444255004
"2015-12-22",2.04695099190278,-2.49495099189297,20.0056929804719,-24.020747564434,1.59174234933453,1.73823360992193
"2015-12-23",2.15534450661881,-2.61234450663915,19.9567944625573,-24.0667955596428,1.63715529220959,1.78479768315861
"2015-12-28",2.11141760180196,-2.56241760180487,19.9853658239093,-24.0380095680858,1.62701743048677,1.77247162866126
"2015-12-29",2.19013039726877,-2.6651303972568,19.9707334020702,-24.0507165316837,1.66810611001419,1.81546525468027
"2015-12-30",2.22991769476312,-2.71791769482613,19.9125011756827,-24.1093045280735,1.66098447279978,1.81553980633023
"2016-01-04",2.14256221603821,-2.64956221604386,19.9532384206148,-24.0677865972539,1.65686049176107,1.8145254888845
"2016-01-05",2.15494883877626,-2.66094883870245,19.9187493630341,-24.1025271852593,1.65368220157389,1.814610322464
"2016-01-06",2.12789190224196,-2.6438919022507,19.9323202091842,-24.0885105060656,1.67271537349969,1.83513535560636
"2016-01-07",2.18003347922042,-2.68203347921916,19.896829320646,-24.1228535519591,1.68604034989704,1.8433113638604
"2016-01-08",2.14288613907859,-2.6598861390628,19.9273419427194,-24.091998780379,1.69171371869823,1.84863520400722
"2016-01-11",2.13960164469009,-2.6436016447042,19.9354109472636,-24.0834745556996,1.66637709833182,1.81767099765023
"2016-01-12",2.11071666925418,-2.62571666921994,19.9861642835226,-24.0319012187019,1.63034719643372,1.77531757955722
"2016-01-13",2.04208228877716,-2.52708228873479,19.9989034572093,-24.0153939851644,1.64149738929493,1.78479993827261
"2016-01-14",2.02129931894217,-2.48929931895154,19.9847947672184,-24.0284271744037,1.66178156202969,1.80556710972899
"2016-01-15",2.02045180947629,-2.48745180949383,19.9696309423891,-24.0436578034702,1.66403079146101,1.81274698386145
"2016-01-18",2.05001523606885,-2.52101523605899,19.9577848508301,-24.0556098325263,1.68144056719236,1.83392815790726
"2016-01-19",2.09174056548267,-2.56026499068055,19.8980004889075,-24.115755032212,1.63555182842215,1.80057203723627
"2016-01-20",1.96345617221588,-2.41345617216123,19.9789139929503,-24.032100708379,1.65839473248031,1.80925410160148
"2016-01-21",1.92046723936621,-2.38646723937656,19.9522656061662,-24.0597273591538,1.65711357990563,1.80952438127887
"2016-01-22",2.03650143084773,-2.49050143083934,19.8416548846535,-24.1683409328729,1.638800208824,1.7988833246917
"2016-01-25",1.99270976057579,-2.44770976046528,19.8904103109252,-24.1191911801684,1.65194368703247,1.80899180819835
"2016-01-26",1.94516614297192,-2.39916614299184,19.903487768548,-24.105469496268,1.63578253794287,1.79267945774564
"2016-01-27",1.94948707007925,-2.39748707009068,19.912997575094,-24.0959775400305,1.63208179512604,1.79033671022027
"2016-01-28",1.87453049484249,-2.327530494811,19.9648031794179,-24.0398477244401,1.65004901477916,1.80766132999822
"2016-01-29",1.80297912020185,-2.27397912024543,19.9786358631824,-24.0256235758142,1.64520508571242,1.80432729159542
"2016-02-01",1.79171905809907,-2.26600826336012,20.0055107784399,-23.998569376633,1.64863272409441,1.81137117226933
"2016-02-02",1.75772324048303,-2.21833835129942,20.0154780452515,-23.9885533943369,1.67023569744899,1.82882656231126
